case_id,original_designer_name,original_brand_name,original_item_type,original_design_elements,original_year,copier_brand_name,copier_item_type,copy_year,infringement_label,confidence,source,notes
VER_002,Lirika Matoshi,Lirika Matoshi,Apparel,"Strawberry dress with tulle layers, hand-sewn strawberry embellishments, pink tulle construction, whimsical cottage-core aesthetic",2019,Shein,Apparel,2020,knockoff,high,Diet Prada,Viral strawberry dress design copied after TikTok fame
VER_003,GCDS,GCDS,Apparel,"Logo-centric streetwear with bold graphic placement, 90s-inspired aesthetic, neon color blocking, logomania branding",2015,Fashion Nova,Apparel,2018,similar,medium,Press,Logo placement and aesthetic approach copied in fast fashion context
VER_004,Marine Serre,Marine Serre,Apparel,"Crescent moon print motif, all-over pattern on bodysuits and tops, futuristic regenerated materials, distinctive lunar symbol",2017,Zara,Apparel,2019,knockoff,high,Diet Prada,Signature crescent moon print copied on similar garment styles
VER_005,Rejina Pyo,Rejina Pyo,Apparel,"Sculptural knitwear with distinctive cutout details, asymmetric hem designs, modern minimalist aesthetic, architectural construction",2018,H&M,Apparel,2020,similar,medium,Press,Cutout knitwear design language adopted in mass market
VER_006,Palomo Spain,Palomo Spain,Apparel,"Gender-fluid design with exaggerated ruffles and bows, romantic menswear, theatrical proportions, Spanish cultural references",2016,Zara,Apparel,2019,similar,medium,Press,Ruffle and bow details in menswear borrowed from signature aesthetic
VER_007,Cult Gaia,Cult Gaia,Accessories,"Ark bag with bamboo construction, architectural cage-like structure, sculptural bamboo slats forming oval shape, natural materials",2016,Multiple retailers,Accessories,2018,knockoff,high,Diet Prada,Iconic Ark bag structure widely replicated after Instagram popularity
VER_008,Eckhaus Latta,Eckhaus Latta,Apparel,"Inside-out construction showing exposed seams, raw edge details, deliberately unfinished aesthetic, avant-garde knitwear",2015,Urban Outfitters,Apparel,2019,similar,medium,Press,Exposed seam construction technique adopted in mass market
CURATED_050,Maggie Marilyn,Maggie Marilyn,Apparel,"Sustainable fashion with distinctive ruched sleeves and ribbon tie details, romantic feminine aesthetic, ethical production messaging",2016,Zara,Apparel,2019,similar,medium,Press,Sustainable designer aesthetic copied by fast fashion
CURATED_051,Chromat,Chromat,Apparel,"Architectural swimwear with cage-like structures, geometric cutouts, body-positive sizing, structural engineering-inspired design",2010,Multiple retailers,Apparel,2017,similar,medium,Press,Cage swimwear aesthetic widely adopted after runway success
CURATED_052,Ganni,Ganni,Apparel,"Bright floral midi dresses with puffed sleeves, Scandinavian maximalist prints, romantic cottagecore aesthetic, statement collars",2017,H&M,Apparel,2020,similar,medium,Press,Signature print dresses and aesthetic widely copied
CURATED_053,Simone Rocha,Simone Rocha,Accessories,"Pearl-embellished hair clips and barrettes, oversized pearl decorations, feminine romantic details",2018,Shein,Accessories,2020,knockoff,high,Diet Prada,Signature pearl hair accessories mass-produced
CURATED_054,Gogo Graham,Gogo Graham,Accessories,"Upcycled vintage scarf bags, repurposed luxury silk scarves into structured handbags, sustainable luxury approach",2015,Multiple retailers,Accessories,2019,similar,medium,Press,Scarf bag concept widely adopted
CURATED_055,Collina Strada,Collina Strada,Apparel,"Tie-dye sustainable fashion with maximalist patterns, upcycled materials, bright psychedelic colors, eco-conscious messaging",2016,Fast fashion retailers,Apparel,2020,similar,medium,Press,Sustainable tie-dye aesthetic copied without eco-conscious practices
CURATED_056,Sia Arnika,Sia Arnika,Jewelry,"Colorful glass bead choker necklaces, vibrant multi-colored patterns, beach-inspired aesthetic, handmade quality",2019,Urban Outfitters,Jewelry,2021,knockoff,high,Diet Prada,Beaded choker designs replicated closely
CURATED_057,Charlotte Knowles,Charlotte Knowles,Apparel,"Deconstructed corset tops with visible boning, cutout details, body-conscious tailoring, modern structural design",2018,Fashion Nova,Apparel,2020,knockoff,high,Press,Signature corset designs mass-produced
CURATED_058,Lisa Says Gah,Lisa Says Gah,Apparel,"Vintage-inspired gingham prints, puffy sleeves, romantic feminine silhouettes, sustainable small-batch production",2015,Zara,Apparel,2019,similar,medium,Press,Gingham dress aesthetic widely copied
CURATED_059,Han Cholo,Han Cholo,Jewelry,"Chicano-inspired silver jewelry, lowrider culture motifs, detailed engravings, cultural heritage designs",2007,Forever 21,Jewelry,2015,similar,medium,Press,Cultural designs appropriated without context
EXPANDED_001,House of Aama,House of Aama,Apparel,"African heritage knitwear with traditional patterns, handknit textiles in earth tones, cultural storytelling through crochet and knit techniques",2015,Zara,Apparel,2021,similar,medium,Press,Black-owned brand knitwear aesthetic adopted by fast fashion
EXPANDED_002,Hanifa,Hanifa,Apparel,"Bodycon dresses with ruching and draping details, form-fitting silhouettes, bold monochromatic colors, viral 3D fashion show concept",2017,Fashion Nova,Apparel,2020,knockoff,high,Diet Prada,Signature ruched dress designs mass-produced after viral show
EXPANDED_003,LaQuan Smith,LaQuan Smith,Apparel,"Latex and leather bodycon designs, high shine materials, ultra-fitted silhouettes, daring cutouts, clubwear aesthetic",2013,PrettyLittleThing,Apparel,2019,similar,medium,Press,Latex bodycon aesthetic widely copied in fast fashion
EXPANDED_004,Priscavera,Priscavera,Apparel,"Whimsical embroidered dresses with cartoon characters, playful illustrations, colorful hand-stitched details, childlike aesthetic",2018,Shein,Apparel,2020,knockoff,high,Diet Prada,Distinctive embroidered designs replicated
EXPANDED_005,Bode,Bode,Apparel,"Vintage quilt patchwork shirts, antique textile upcycling, hand-embroidered details, heritage fabric storytelling",2016,Urban Outfitters,Apparel,2020,similar,medium,Press,Quilt patchwork aesthetic adopted without sustainability aspect
EXPANDED_006,Area,Area,Apparel,"Crystal-embellished eveningwear with extensive rhinestone application, butterfly motifs, glamorous disco aesthetic",2014,Fashion Nova,Apparel,2019,knockoff,high,Diet Prada,Signature crystal butterfly designs mass-produced
EXPANDED_007,Nensi Dojaka,Nensi Dojaka,Apparel,"Asymmetric strap dresses with delicate thin straps, layered construction, skin-baring cutouts, architectural draping",2019,Shein,Apparel,2021,knockoff,high,Diet Prada,LVMH Prize winner designs copied after runway success
EXPANDED_008,Coperni,Coperni,Accessories,"Swipe bag with curved crescent shape, minimalist hardware, architectural sculptural form, modern clean lines",2019,Zara,Accessories,2021,knockoff,high,Diet Prada,Viral Swipe bag design directly copied
EXPANDED_009,Chopova Lowena,Chopova Lowena,Apparel,"Upcycled vintage blanket skirts with hardware belt details, Bulgarian textile heritage, patchwork construction",2018,Urban Outfitters,Apparel,2021,similar,medium,Press,Blanket skirt concept copied without sustainability
EXPANDED_010,Maisie Wilen,Maisie Wilen,Apparel,"Digital print bodysuits with warped graphic effects, psychedelic distorted patterns, Y2K-inspired futuristic aesthetic",2019,Fashion Nova,Apparel,2021,knockoff,high,Diet Prada,Distinctive warped print aesthetic mass-produced
EXPANDED_011,Molly Goddard,Molly Goddard,Apparel,"Voluminous tulle dresses in bright colors, excessive ruffled layers, playful childlike proportions, signature pink tulle",2014,Zara,Apparel,2018,similar,medium,Press,Voluminous tulle aesthetic widely adopted
EXPANDED_012,Asai,Asai,Apparel,"Knit dresses with facial feature motifs, surrealist body-part prints, provocative feminine silhouettes",2017,Shein,Apparel,2020,knockoff,high,Diet Prada,Distinctive facial motif prints replicated
EXPANDED_013,Charlotte Knowles,Charlotte Knowles,Apparel,"Deconstructed corset tops with visible boning, cutout details, body-conscious tailoring, modern structural design",2018,Fashion Nova,Apparel,2020,knockoff,high,Press,Signature corset designs mass-produced
EXPANDED_014,Ganni,Ganni,Apparel,"Bright floral midi dresses with puffed sleeves, Scandinavian maximalist prints, romantic cottagecore aesthetic, statement collars",2017,H&M,Apparel,2020,similar,medium,Press,Signature print dresses and aesthetic widely copied
EXPANDED_015,Simone Rocha,Simone Rocha,Accessories,"Pearl-embellished hair clips and barrettes, oversized pearl decorations, feminine romantic details",2018,Shein,Accessories,2020,knockoff,high,Diet Prada,Signature pearl hair accessories mass-produced
EXPANDED_016,Roxanne Assoulin,Roxanne Assoulin,Jewelry,"Colorful enamel bracelets in stacks, playful rainbow combinations, whimsical color-blocking, affordable luxury positioning",2016,Amazon sellers,Jewelry,2019,knockoff,high,Press,Signature bracelet stacks widely copied
EXPANDED_017,Dinosaur Designs,Dinosaur Designs,Jewelry,"Chunky resin jewelry in marbled colors, oversized sculptural bangles, Australian handmade craftsmanship",1985,Zara,Jewelry,2018,similar,medium,Press,Resin jewelry aesthetic widely adopted
EXPANDED_018,Alighieri,Alighieri,Jewelry,"Lost-wax bronze jewelry with imperfect textures, coin-inspired pendants, literary references, handmade quality",2014,H&M,Jewelry,2019,similar,medium,Press,Textured coin jewelry aesthetic copied
EXPANDED_019,Eliou,Eliou,Jewelry,"Colorful glass bead jewelry with ocean-inspired palette, surf culture aesthetic, handmade in Australia",2016,Urban Outfitters,Jewelry,2020,knockoff,high,Diet Prada,Beaded jewelry designs closely replicated
EXPANDED_020,Sia Arnika,Sia Arnika,Jewelry,"Colorful glass bead choker necklaces, vibrant multi-colored patterns, beach-inspired aesthetic, handmade quality",2019,Urban Outfitters,Jewelry,2021,knockoff,high,Diet Prada,Beaded choker designs replicated closely
EXPANDED_021,JW Anderson,JW Anderson,Accessories,"Pierce bag with circular handle piercing through, architectural hardware detail, minimalist leather construction",2017,Zara,Accessories,2018,knockoff,high,Diet Prada,Signature Pierce bag hardware directly copied
EXPANDED_022,Staud,Staud,Accessories,"Shirley bag with bamboo and acrylic construction, transparent materials, architectural half-moon shape",2016,Multiple retailers,Accessories,2019,knockoff,high,Press,Viral Shirley bag design widely replicated
EXPANDED_023,Wandler,Wandler,Accessories,"Hortensia bag with puffy quilted leather, cloud-like soft construction, distinctive gathered design",2017,Zara,Accessories,2020,knockoff,high,Diet Prada,Signature puffy bag silhouette directly copied
EXPANDED_024,By Far,By Far,Accessories,"Rachel bag with baguette shape and croc-embossed leather, vintage-inspired hardware, structured silhouette",2016,H&M,Accessories,2020,knockoff,high,Press,Instagram-viral bag designs mass-produced
EXPANDED_025,Ratio et Motus,Ratio et Motus,Accessories,"Twin bag with circular rings as handles, architectural minimalism, geometric metal hardware",2016,Zara,Accessories,2019,knockoff,high,Diet Prada,Ring handle bag design directly replicated
EXPANDED_026,Mansur Gavriel,Mansur Gavriel,Accessories,"Bucket bag with contrasting interior lining, minimal branding, vegetable-tanned Italian leather, clean lines",2012,Multiple retailers,Accessories,2015,knockoff,high,Press,Viral bucket bag widely copied across market
EXPANDED_027,Danse Lente,Danse Lente,Accessories,"Johnny bag with circular shape and knot handle detail, sculptural hardware, playful proportions",2017,Mango,Accessories,2019,knockoff,high,Diet Prada,Distinctive knot handle bag copied
EXPANDED_028,Yuzefi,Yuzefi,Accessories,"Delila bag with distinctive ring handles, structured leather, architectural hardware details",2016,Zara,Accessories,2019,knockoff,high,Diet Prada,Signature ring handle design replicated
EXPANDED_029,Hillier Bartley,Hillier Bartley,Accessories,"Bunny bag with ear-shaped handles, playful luxury aesthetic, structured leather construction",2015,Zara,Accessories,2018,knockoff,high,Diet Prada,Distinctive bunny ear handle design copied
EXPANDED_030,Little Liffner,Little Liffner,Accessories,"Tulip bag with gathered top closure, Swedish minimalism, soft structured leather",2015,Mango,Accessories,2019,knockoff,high,Press,Gathered tulip bag silhouette replicated
EXPANDED_031,Neous,Neous,Footwear,"Sculptural heeled sandals with architectural curves, minimalist straps, geometric heel shapes",2015,Zara,Footwear,2019,knockoff,high,Diet Prada,Distinctive sculptural heel designs replicated
EXPANDED_032,Salehe Bembury,Salehe Bembury,Footwear,"Crocs collaboration with fingerprint-inspired texture pattern, organic sculptural forms, distinctive sole design",2021,Knockoff brands,Footwear,2022,knockoff,high,Press,Viral fingerprint texture design immediately copied
EXPANDED_033,Kiko Kostadinov,Kiko Kostadinov,Footwear,"ASICS collaboration with deconstructed running shoes, layered complex constructions, technical innovation",2018,Fast fashion sneakers,Footwear,2020,similar,medium,Press,Deconstructed sneaker aesthetic copied
EXPANDED_034,Salehe Bembury,Salehe Bembury x New Balance,Footwear,"Water be the Guide 2002R with organic pod sole, nature-inspired colorways, distinctive wavy constructions",2021,Knockoffs,Footwear,2022,knockoff,high,Press,Viral pod sole design immediately replicated
EXPANDED_035,Samuel Ross,A-Cold-Wall,Apparel,"Industrial brutalist aesthetic with technical fabrics, utilitarian straps and hardware, gray monochrome palette",2015,Fast fashion,Apparel,2019,similar,medium,Press,Industrial streetwear aesthetic widely adopted
EXPANDED_036,Jerry Lorenzo,Fear of God,Apparel,"Elongated proportions with dropped shoulders, neutral earth tones, luxury streetwear silhouettes",2013,H&M,Apparel,2017,similar,medium,Press,Oversized streetwear proportions widely copied
